File,Purpose,Exports Functions,Consumes Functions,API Exposed,Frontend Consumed,Status
core/batch_processor.py,core_logic,"MoleculeRow, ProcessedEntry, BatchResult, _normalise_header, _detect_columns, _count_heterocyclic_rings, read_csv_file, read_txt_file, read_excel_file, read_input_file, _process_one, run_batch, _build_result, process_file, rows_from_smiles_list, convert_file_format","logging, typing, pandas, pathlib, json, time, concurrent.futures, csv, dataclasses",NO,UNKNOWN,CONNECTED
exports/excel/workbook_builder.py,export_logic,"_payload_from_any, build_workbook, build_workbook_bytes","exports.schemas.workbook_models, exports.excel.sheet_renderers, typing, openpyxl, io, exports.excel.styles, exports.schemas.batch_export_schema, __future__, copy",NO,UNKNOWN,CONNECTED
api/schemas/spectra.py,api_schema,"IRBandSchema, IRPredictionResponse, NMRPeakSchema, ProtonNMRResponse, CarbonNMRResponse","__future__, pydantic, typing",NO,UNKNOWN,CONNECTED
exports/exporters/excel_exporter.py,export_logic,ExcelExporter,"typing, exports.schemas.batch_export_schema, __future__, exports.excel.workbook_builder, pathlib",NO,UNKNOWN,CONNECTED
exports/exporters/__init__.py,export_logic,,"exports.exporters.excel_exporter, exports.exporters.json_exporter, exports.exporters.csv_exporter",NO,UNKNOWN,CONNECTED
core/docking_preparation.py,core_logic,"_validate_smiles, prepare_docking_structure","logging, typing, core.openbabel_utils, rdkit, rdkit.Chem, __future__",NO,UNKNOWN,CONNECTED
exports/schemas/batch_export_schema.py,export_logic,"_utc_now, _plain, _as_dict, _as_list, _coalesce, _to_float, _to_int, _to_bool, _computed_ro5_violations, _is_truthy_failure, _record_id, _normalise_counts, _title_from_key, _format_atom_indices, _join_values, _extract_records, BatchExportPayload, _failure_row, _success_sections, _functional_group_rows, _ir_rows, _proton_rows, _carbon_rows, build_batch_export_payload","collections, typing, datetime, json, __future__, math, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
core/descriptor_benchmark.py,core_logic,"DescriptorComparison, DescriptorBenchmarkSummary, compute_rdkit_reference_descriptors, compare_descriptors, benchmark_molecule, benchmark_from_csv, _statistics, benchmark_summary, comparisons_to_rows, summary_to_rows, _autosize_columns, _save_figure, build_plots, export_benchmark_report","typing, openpyxl.drawing.image, core.molecule_utils, openpyxl.utils, openpyxl, rdkit, rdkit.Chem, __future__, statistics, math, core.descriptor_utils, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
spectra/proton_nmr.py,prediction_engine,"ProtonEnvironment, ProtonSignal, LegacyMappingMixin, _legacy_hnmr_label, NMRPrediction, MLShiftModel, _norm_key, _cap_range, _average, predict_from_groups, ProtonNMRPredictor, predictprotonnmr, predict_proton_nmr, predictfromsmiles, predict_from_smiles, predictfromgroups, summary_text, summarytext","logging, collections.abc, typing, re, rdkit, __future__, dataclasses",NO,UNKNOWN,CONNECTED
spectra/functional_group_detector.py,prediction_engine,"FGDefinition, get_registry, register_custom_group, FunctionalGroupDetector, detect_functional_groups","collections, logging, typing, core.molecule_utils, rdkit, core.models, __future__, dataclasses",NO,UNKNOWN,CONNECTED
spectra/ir_predictor.py,prediction_engine,"_BandSpec, _intensity_for, _normalise_key, IRBand, IRPeak, _LegacyMappingMixin, IRPrediction, IRPredictor, predict_ir, predict_from_groups, summary_text","logging, collections.abc, typing, re, spectra.functional_group_detector, os, json, sys, __future__, dataclasses",NO,UNKNOWN,CONNECTED
api/routes/batch.py,api_route,"BatchRequest, BatchResultRow, BatchResponse, _parse_upload, _format_batch_response, process_batch_json, process_batch_upload, process_batch_htmx","logging, api.templating, typing, services, fastapi, fastapi.responses, io, pathlib, json, exports.schemas.batch_export_schema, __future__, pydantic, csv",YES,UNKNOWN,CONNECTED
api/routes/__init__.py,api_route,,"analysis, spectra, batch, export",YES,UNKNOWN,CONNECTED
database/__init__.py,module,,models,NO,UNKNOWN,CONNECTED
api/serializers.py,module,"_safe_dict, serialize_molecule, serialize_descriptors, serialize_functional_groups, serialize_ir, serialize_proton_nmr, serialize_carbon_nmr, serialize_analysis_result","__future__, typing, core.models",NO,UNKNOWN,CONNECTED
core/docking_validation.py,core_logic,"DockingValidationRecord, DockingValidationReport, _ensure_output_format, validate_docking_workflow, _write_rows_to_sheet, export_validation_report, build_markdown_report","logging, typing, core.docking_preparation, core.openbabel_utils, openpyxl, rdkit, time, rdkit.Chem, __future__, math, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
core/logging_utils.py,core_logic,"SupportsLoggingSettings, LoggingConfig, _coerce_level, _should_use_color, _mark_handler, _is_managed_handler, _remove_managed_handlers, _ColorFormatter, _make_formatter, configure_logging, get_logger, set_verbosity","logging, typing, logging.handlers, os, sys, __future__, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
database/models.py,module,"AnalysisResult, BatchJob, create_database_engine, create_session_factory, init_database, configure_database, get_db","sqlalchemy.orm, typing, sqlalchemy.ext.declarative, datetime, sqlalchemy, __future__",NO,UNKNOWN,CONNECTED
exports/__init__.py,export_logic,,exports.schemas.batch_export_schema,NO,UNKNOWN,CONNECTED
exports/excel/sheet_renderers.py,export_logic,"render_sheet, _rows_for_sheet, _metadata_rows","exports.schemas.workbook_models, typing, openpyxl, exports.excel.styles, exports.schemas.batch_export_schema, __future__, exports.excel.formatters",NO,UNKNOWN,CONNECTED
services/analysis_service.py,service_layer,AnalysisService,"logging, typing, core.pipeline, core.models, __future__, pathlib",NO,UNKNOWN,CONNECTED
core/openbabel_utils.py,core_logic,"_check_openbabel, _normalize_format, _read_molecules, _write_molecule, _coerce_molecule_data, convert_format, smiles_to_mol2, smiles_to_pdbqt, mol2_to_smiles, sdf_to_smiles, inchi_to_mol2, _remove_salts_from_molecule, remove_salts, normalize_structure, add_hydrogens, remove_hydrogens, protonate_structure, deprotonate_structure, adjust_ph, generate_3d_coordinates, optimize_geometry","logging, typing, tempfile, __future__, pathlib",NO,UNKNOWN,CONNECTED
exports/exporters/csv_exporter.py,export_logic,CsvExporter,"typing, io, csv, exports.schemas.batch_export_schema, __future__, pathlib",NO,UNKNOWN,CONNECTED
api/schemas/__init__.py,api_schema,,"analysis, batch, export",NO,UNKNOWN,CONNECTED
core/__init__.py,core_logic,"get_pipeline_classes, __getattr__","descriptor_utils, descriptor_benchmark, config, logging_utils, spectra_validation, docking_validation, resolver, molecule_utils, docking_preparation, visualization_utils",NO,UNKNOWN,CONNECTED
services/batch_service.py,service_layer,BatchService,"logging, typing, core.pipeline, exports.exporters, exports.schemas.batch_export_schema, __future__, concurrent.futures, pathlib",NO,UNKNOWN,CONNECTED
api/routes/export.py,api_route,"ExportRequest, _timestamped_name, _media_type, _record_history, _markdown_from_payload, _render_export, _stream_bytes, _download_response, export_results, download_export, export_latest_history_profile, preview_export, export_profiles, export_history, get_supported_formats","database.models, exports.schemas.workbook_models, logging, sqlalchemy.orm, typing, services, asyncio, fastapi, fastapi.responses, datetime, exports.exporters, exports.schemas.batch_export_schema, __future__, services.history_service, pydantic",YES,UNKNOWN,CONNECTED
core/descriptor_utils.py,core_logic,"FunctionalGroupCounts, load_smarts, _count_functional_groups, compute_descriptors, summarise_descriptors, get_heterocycles, summarise_heterocycles, heterocycles_to_records, batch_compute_descriptors","rdkit.Chem, __future__, typing, core.models",NO,UNKNOWN,CONNECTED
api/__init__.py,module,,,NO,UNKNOWN,ISOLATED
spectra/carbon_nmr.py,prediction_engine,"_cap_range, _mean, _safe_mid, LegacyMappingMixin, CarbonEnvironment, _legacy_cnmr_label, CarbonNMRPrediction, MLCarbonShiftModel, summary_text, summarytext, predict_from_groups, CarbonNMRPredictor, predict_from_smiles, predictfromsmiles, predict_carbon_nmr, predictcarbonnmr, predictfromgroups","logging, collections.abc, typing, rdkit, __future__, dataclasses",NO,UNKNOWN,CONNECTED
core/models.py,core_logic,"_convert_value, ModelMixin, MoleculeRecord, DescriptorRecord, FunctionalGroupMatch, FunctionalGroupReport, IRBand, IRPrediction, ProtonSignal, ProtonNMRPrediction, CarbonEnvironment, CarbonNMRPrediction, AnalysisResult","__future__, typing, pathlib, dataclasses",NO,UNKNOWN,CONNECTED
api/routes/analysis.py,api_route,"MoleculeInput, AnalysisRequest, _parse_molecule_input, _run_analysis, analyze_molecule_json, resolve_input, analyse_htmx_handler, get_example_molecules, functional_groups","database.models, api.serializers, logging, core.resolver, sqlalchemy.orm, typing, api.templating, services, fastapi, fastapi.responses, __future__, services.history_service, pydantic, pathlib",YES,UNKNOWN,CONNECTED
exports/excel/__init__.py,export_logic,,exports.excel.workbook_builder,NO,UNKNOWN,CONNECTED
